,Path,Total_latency,Total_noise,Signal_noise_ratio
0,A->B,0.001768990752562263,9.303939533108696e-07,28.53091814603041
1,A->C->D->B,0.00624035381403802,3.163339441256957e-06,23.17433091156903
2,A->C->D->E->F->B,0.011314584820075978,5.582363719865218e-06,20.69088607736071
3,A->C->D->F->B,0.008268767626733618,4.093733394567826e-06,22.064057614826496
4,A->C->E->D->B,0.008110582242233186,4.093733394567826e-06,22.064057614826496
5,A->C->E->D->F->B,0.010138996054928783,5.024127347878696e-06,21.180616382347242
6,A->C->E->F->B,0.009374290550333272,4.651969766554349e-06,21.471088656857372
7,A->C->E->F->D->B,0.01125370503726087,5.582363719865218e-06,20.69088607736071
8,A->D->B,0.0039682413450922846,2.046866697283913e-06,25.074357571466308
9,A->D->C->E->F->B,0.010710225428059604,5.396284929203044e-06,20.848271659617858
10,A->D->E->F->B,0.009042472351130244,4.465890975892175e-06,21.66013030065086
11,A->D->F->B,0.005996655157787882,2.9772606505947828e-06,23.45716306301888
12,A->B->D->C,0.005635994422021644,2.9772606505947828e-06,23.45716306301888
13,A->B->D->E->C,0.007506222850216811,3.907654603905652e-06,22.28145848803562
14,A->B->D->F->E->C,0.010649345645244494,5.396284929203044e-06,20.848271659617858
15,A->B->F->D->C,0.0076644082347172415,3.907654603905652e-06,22.28145848803562
16,A->B->F->D->E->C,0.009534636662912408,4.838048557216522e-06,21.35717564925303
17,A->B->F->E->C,0.008769931158316896,4.465890975892175e-06,21.66013030065086
18,A->B->F->E->D->C,0.010710225428059602,5.396284929203044e-06,20.848271659617858
19,A->C,0.0023733501445786383,1.1164727439730436e-06,27.680009795686054
20,A->D->B->F->E->C,0.010969181750846919,5.582363719865218e-06,20.69088607736071
21,A->D->C,0.003709285022304969,1.8607879066217391e-06,25.520618189390596
22,A->D->E->C,0.005579513450500135,2.7911818599326087e-06,23.759705598833783
23,A->D->F->E->C,0.00872263624552782,4.2798121852300005e-06,21.85777660130812
24,A->B->D,0.0038319707486856114,2.046866697283913e-06,25.074357571466308
25,A->B->F->D,0.005860384561381209,2.9772606505947828e-06,23.45716306301888
26,A->B->F->E->C->D,0.010573954831652929,5.396284929203044e-06,20.848271659617858
27,A->B->F->E->D,0.008906201754723569,4.465890975892175e-06,21.66013030065086
28,A->C->D,0.004177373817914672,2.046866697283913e-06,25.074357571466308
29,A->C->E->D,0.006047602246109837,2.9772606505947828e-06,23.45716306301888
30,A->C->E->F->B->D,0.01143727054645662,5.768442510527392e-06,20.53900514564361
31,A->C->E->F->D,0.009190725041137522,4.465890975892175e-06,21.66013030065086
32,A->D,0.001905261348968936,9.303939533108696e-07,28.53091814603041
33,A->B->D->C->E,0.0074049851745839074,3.907654603905652e-06,22.28145848803562
34,A->B->D->E,0.005737232097654548,2.9772606505947828e-06,23.45716306301888
35,A->B->D->F->E,0.008880354892682232,4.465890975892175e-06,21.66013030065086
36,A->B->F->D->C->E,0.009433398987279504,4.838048557216522e-06,21.35717564925303
37,A->B->F->D->E,0.007765645910350145,3.907654603905652e-06,22.28145848803562
38,A->B->F->E,0.007000940405754634,3.5354970225813046e-06,22.659474268912586
39,A->C->D->B->F->E,0.011472303467230391,5.7684425105273915e-06,20.53900514564361
40,A->C->D->E,0.006082635166883608,2.9772606505947828e-06,23.45716306301888
41,A->C->D->F->E,0.009225757961911293,4.465890975892175e-06,21.66013030065086
42,A->C->E,0.004142340897140901,2.046866697283913e-06,25.074357571466308
43,A->D->B->F->E,0.009200190998284657,4.651969766554349e-06,21.471088656857372
44,A->D->C->E,0.005478275774867232,2.7911818599326087e-06,23.759705598833783
45,A->D->E,0.003810522697937872,1.8607879066217391e-06,25.520618189390596
46,A->D->F->E,0.006953645492965557,3.3494182319191305e-06,22.90975783270772
47,A->B->D->C->E->F,0.01049945516876893,5.396284929203043e-06,20.848271659617858
48,A->B->D->E->F,0.008831702091839571,4.465890975892175e-06,21.66013030065086
49,A->B->D->F,0.005785884898497209,2.9772606505947828e-06,23.45716306301888
50,A->B->F,0.003906470411569611,2.046866697283913e-06,25.074357571466308
51,A->C->D->B->F,0.008377833473045368,4.2798121852300005e-06,21.8570226424367
52,A->C->D->E->F,0.00917710516106863,4.465890975892175e-06,21.66013030065086
53,A->C->D->F,0.00613128796772627,2.9772606505947828e-06,23.45716306301888
54,A->C->E->D->B->F,0.010248061901240535,5.21020613854087e-06,21.01095546953188
55,A->C->E->D->F,0.008001516395921435,3.907654603905652e-06,22.28145848803562
56,A->C->E->F,0.007236810891325924,3.5354970225813046e-06,22.659474268912586
57,A->D->B->F,0.0061057210040996335,3.163339441256957e-06,23.17433091156903
58,A->D->C->E->F,0.008572745769052256,4.2798121852300005e-06,21.85777660130812
59,A->D->E->F,0.006904992692122895,3.3494182319191305e-06,22.90975783270772
60,A->D->F,0.0038591754987805336,1.8607879066217391e-06,25.520618189390596
61,B->A,0.001768990752562263,9.303939533108696e-07,28.53091814603041
62,B->D->A,0.0039682413450922846,2.046866697283913e-06,25.074357571466308
63,B->D->C->A,0.00624035381403802,3.163339441256957e-06,23.17433091156903
64,B->D->E->C->A,0.008110582242233186,4.093733394567826e-06,22.064057614826496
65,B->D->F->E->C->A,0.01125370503726087,5.582363719865218e-06,20.69088607736071
66,B->F->D->A,0.005996655157787883,2.9772606505947828e-06,23.45716306301888
67,B->F->D->C->A,0.008268767626733618,4.093733394567826e-06,22.064057614826496
68,B->F->D->E->C->A,0.010138996054928785,5.024127347878696e-06,21.180616382347242
69,B->F->E->C->A,0.009374290550333272,4.651969766554349e-06,21.471088656857372
70,B->F->E->C->D->A,0.010710225428059602,5.396284929203044e-06,20.848271659617858
71,B->F->E->D->A,0.009042472351130244,4.465890975892175e-06,21.66013030065086
72,B->F->E->D->C->A,0.01131458482007598,5.582363719865218e-06,20.69088607736071
73,B->A->C,0.004142340897140901,2.046866697283913e-06,25.074357571466308
74,B->A->D->C,0.005478275774867232,2.7911818599326087e-06,23.759705598833783
75,B->A->D->E->C,0.007348504203062398,3.7215758132434783e-06,22.510318232750784
76,B->A->D->F->E->C,0.010491626998090081,5.21020613854087e-06,21.011575958786672
77,B->D->A->C,0.0063415914896709225,3.163339441256957e-06,23.17433091156903
78,B->D->C,0.0038670036694593815,2.046866697283913e-06,25.074357571466308
79,B->D->E->C,0.005737232097654548,2.9772606505947828e-06,23.45716306301888
80,B->D->F->E->C,0.008880354892682232,4.465890975892175e-06,21.66013030065086
81,B->F->D->A->C,0.00837000530236652,4.093733394567826e-06,22.064057614826496
82,B->F->D->C,0.005895417482154979,2.9772606505947828e-06,23.45716306301888
83,B->F->D->E->C,0.007765645910350146,3.907654603905652e-06,22.28145848803562
84,B->F->E->C,0.0070009404057546345,3.5354970225813046e-06,22.659474268912586
85,B->F->E->D->A->C,0.011415822495708883,5.582363719865218e-06,20.69088607736071
86,B->F->E->D->C,0.008941234675497341,4.465890975892175e-06,21.66013030065086
87,B->A->C->D,0.005946364570476934,2.9772606505947828e-06,23.45716306301888
88,B->A->C->E->D,0.0078165929986721,3.907654603905652e-06,22.28145848803562
89,B->A->C->E->F->D,0.010959715793699785,5.396284929203044e-06,20.848271659617858
